State,GDP_2023
United States,27720709.0
New England ,1410687.0
Connecticut,345912.0
Maine ,93270.0
Massachusetts ,736296.0
New Hampshire ,114101.0
Rhode Island ,77574.0
Vermont ,43534.0
Mideast ,4745213.0
Delaware ,98069.0
District of Columbia ,176502.0
Maryland ,515607.0
New Jersey,806665.0
New York,2172010.0
Pennsylvania ,976361.0
Great Lakes ,3584949.0
Illinois ,1098346.0
Indiana,499503.0
Michigan ,673818.0
Ohio ,884834.0
Wisconsin ,428447.0
Plains ,1726903.0
Iowa ,254032.0
Kansas,228232.0
Minnesota ,483162.0
Missouri ,430114.0
Nebraska,181285.0
North Dakota ,76043.0
South Dakota ,74034.0
Southeast ,6122627.0
Alabama ,304936.0
Arkansas,178606.0
Florida ,1600811.0
Georgia ,831828.0
Kentucky,279707.0
Louisiana ,314989.0
Mississippi ,151147.0
North Carolina ,788103.0
South Carolina ,327420.0
Tennessee ,523032.0
Virginia ,719897.0
West Virginia ,102152.0
Southwest ,3498332.0
Arizona ,522767.0
New Mexico,135010.0
Oklahoma,256689.0
Texas,2583866.0
Rocky Mountain ,1057159.0
Colorado ,529627.0
Idaho ,120958.0
Montana ,73255.0
Utah ,281329.0
Wyoming ,51991.0
Far West,5421428.0
Alaska ,68056.0
California ,3870379.0
Hawaii ,110265.0
Nevada,245979.0
Oregon ,318884.0
Washington,807865.0
Overseas activity2,153412.0
